shap_id,shape_pts_sequencia,shap_pt_lon,shap_pt_lat
shap_L4,165,-43.1955711731556,-22.903705336452454
shap_L4,166,-43.19556858876037,-22.903704697544168
shap_L4,167,-43.1955659472217,-22.903704030895536
shap_L4,168,-43.19556324659037,-22.903703336484384
shap_L4,169,-43.195560482041124,-22.90370261064376
shap_L4,170,-43.1955576467517,-22.903701853296177
shap_L4,171,-43.19555473589688,-22.903701060774623
shap_L4,172,-43.19555174269022,-22.903700230292916
shap_L4,173,-43.19554865937072,-22.90369935905375
shap_L4,174,-43.19554547622812,-22.903698444237722
shap_L4,175,-43.19554218261344,-22.90369748030558
shap_L4,176,-43.19553876396727,-22.903696462576782
shap_L4,177,-43.195535206716805,-22.903695385478876
shap_L4,178,-43.195531489528186,-22.903694240642125
shap_L4,179,-43.195527587181076,-22.90369301874967
shap_L4,180,-43.19552346961797,-22.903691707720526
shap_L4,181,-43.195519092198,-22.90369029259892
shap_L4,182,-43.195514397729994,-22.90368874925613
shap_L4,183,-43.195509301805316,-22.90368704783602
shap_L4,184,-43.19550367640895,-22.90368513902322
shap_L4,185,-43.19549730132037,-22.903682943557634
shap_L4,186,-43.195489754604225,-22.903680304032356
shap_L4,187,-43.1954799391281,-22.90367681877381
shap_L4,188,-43.19545629250495,-22.903668277402677
shap_L4,189,-43.19563462018778,-22.903716814144303
shap_L4,190,-43.19562982910281,-22.90374628827331
shap_L4,191,-43.19568894634215,-22.903750175467117
shap_L4,192,-43.195688696455726,-22.903720370459006
shap_L4,193,-43.19574286420707,-22.903718339774585
shap_L4,194,-43.19574315502308,-22.90371831418024
shap_L4,195,-43.19574560856111,-22.903718087388945
shap_L4,196,-43.19574810810892,-22.90371784576846
shap_L4,197,-43.195750656626146,-22.903717586643296
shap_L4,198,-43.195753257036664,-22.90371731004662
shap_L4,199,-43.19575591421348,-22.903717016033827
shap_L4,200,-43.19575863014168,-22.90371670191829
shap_L4,201,-43.19576140970625,-22.903716366852485
shap_L4,202,-43.195764257780255,-22.9037160108917
shap_L4,203,-43.195767179272565,-22.903715631382628
shap_L4,204,-43.195770181991996,-22.90371522751086
shap_L4,205,-43.195773271810125,-22.903714797537017
shap_L4,206,-43.19577645655966,-22.903714338840917
shap_L4,207,-43.19577974797175,-22.90371384884668
shap_L4,208,-43.19578315581639,-22.90371332585917
shap_L4,209,-43.19578669476052,-22.903712766432783
shap_L4,210,-43.19579038046958,-22.90371216532719
shap_L4,211,-43.19579423541929,-22.903711518282435
shap_L4,212,-43.195798284058576,-22.903710819254904
shap_L4,213,-43.19580256060628,-22.903710060505812
shap_L4,214,-43.195807110037784,-22.903709231709453
shap_L4,215,-43.19581199298201,-22.90370831820268
shap_L4,216,-43.19581729644204,-22.903707301106657
shap_L4,217,-43.195823157317214,-22.903706147660536
shap_L4,218,-43.195829802409904,-22.903704808063697
shap_L4,219,-43.19583767557874,-22.903703182604126
shap_L4,220,-43.19584792553832,-22.903701016124263
shap_L4,221,-43.19587263635474,-22.90369565546261
shap_L4,222,-43.19588211048607,-22.903724201637925
shap_L4,223,-43.19585618650602,-22.90372982575667
shap_L4,224,-43.1958454341134,-22.903732098507955
shap_L4,225,-43.195837173874374,-22.903733804457747
shap_L4,226,-43.19583020235258,-22.903735208978702
shap_L4,227,-43.19582405415236,-22.903736418762545
shap_L4,228,-43.195818489765465,-22.903737486174794
shap_L4,229,-43.195813367407574,-22.903738444823833
shap_L4,230,-43.195808595190556,-22.903739314436084
shap_L4,231,-43.1958041085871,-22.903740109630387
shap_L4,232,-43.19579986063668,-22.903740843419097
shap_L4,233,-43.19579581714436,-22.903741521735142
shap_L4,234,-43.19579194973891,-22.90374215238368
shap_L4,235,-43.195788236919185,-22.90374273963573
shap_L4,236,-43.19578466204514,-22.90374328872058
shap_L4,237,-43.19578120948718,-22.903743802169853
shap_L4,238,-43.19577786750217,-22.903744283462323
shap_L4,239,-43.1957746263082,-22.90374473519606
shap_L4,240,-43.19577147712182,-22.903745158174324
shap_L4,241,-43.19576841112377,-22.903745555909158
shap_L4,242,-43.195765423417086,-22.90374593015099
shap_L4,243,-43.195762507179516,-22.903746280822357
shap_L4,244,-43.19575965750216,-22.903746610576647
shap_L4,245,-43.195756871461185,-22.903746919380634
shap_L4,246,-43.19575414219849,-22.903747209865593
shap_L4,247,-43.195751468751425,-22.903747481117513
shap_L4,248,-43.19574884719762,-22.903747734897944
shap_L4,249,-43.19574815620604,-22.90374780019628
shap_L4,250,-43.19619918364849,-22.903654902412708
shap_L4,251,-43.19622079944934,-22.903650142293753
shap_L4,252,-43.196229741273925,-22.90364812348282
shap_L4,253,-43.196236593279515,-22.903646542396743
shap_L4,254,-43.19624236329867,-22.903645182912758
shap_L4,255,-43.19624743942192,-22.903643960939462
shap_L4,256,-43.1962520229922,-22.903642835417035
shap_L4,257,-43.196256232295596,-22.903641780597376
shap_L4,258,-43.19626014551589,-22.903640781113467
shap_L4,259,-43.196263814474605,-22.90363982491114
shap_L4,260,-43.19626728021287,-22.90363890432905
shap_L4,261,-43.19627057205255,-22.903638013378853
shap_L4,262,-43.19627371344401,-22.903637147811587
shap_L4,263,-43.19627672101534,-22.903636303300875
shap_L4,264,-43.196279610384174,-22.903635478217957
shap_L4,265,-43.196282394280175,-22.903634668192197
shap_L4,266,-43.196285082461365,-22.90363387243131
shap_L4,267,-43.19628768371118,-22.90363309013201
shap_L4,268,-43.19629020587429,-22.903632317771184
shap_L4,269,-43.196292653823726,-22.90363155540422
shap_L4,270,-43.19629503536831,-22.90363080221667
shap_L4,271,-43.19629735345577,-22.903630056435983
shap_L4,272,-43.196299612959145,-22.903629318117453
shap_L4,273,-43.196301817800766,-22.903628585499547
shap_L4,274,-43.196303970892515,-22.90362785951838
shap_L4,275,-43.19630607615673,-22.90362713841239
shap_L4,276,-43.196308135542616,-22.903626422203704
shap_L4,277,-43.19631015198595,-22.90362571002264
shap_L4,278,-43.19631156622566,-22.903625204121933
shap_L4,279,-43.19630196296522,-22.90359668630182
shap_L4,280,-43.196300435988796,-22.90359724058973
shap_L4,281,-43.196298574143256,-22.903597908470882
shap_L4,282,-43.196296674240166,-22.903598579532073
shap_L4,283,-43.19629473334377,-22.903599254643026
shap_L4,284,-43.19629274950481,-22.903599933781564
shap_L4,285,-43.19629072076216,-22.903600617828484
shap_L4,286,-43.19628864319348,-22.903601308545355
shap_L4,287,-43.196286513898826,-22.903602004093113
